country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant","03-06-2026 23:00:00",21.185571,81.343175,NO2,13,14,13
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB","03-06-2026 23:00:00",21.224231,81.408350,NH3,4,6,5
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC","03-06-2026 23:00:00",22.08815,82.13737,PM2.5,60,128,80
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB","03-06-2026 23:00:00",22.118125,83.140608,NH3,5,6,5
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC","03-06-2026 23:00:00",28.647622,77.3158090,PM2.5,20,269,126
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC","03-06-2026 23:00:00",28.647622,77.3158090,PM10,117,312,196
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC","03-06-2026 23:00:00",28.647622,77.3158090,NO2,29,100,57
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC","03-06-2026 23:00:00",28.695381,77.181665,SO2,16,32,24
India,Delhi,Delhi,"Bawana, Delhi - DPCC","03-06-2026 23:00:00",28.776200,77.051074,CO,17,52,30
India,Delhi,Delhi,"Burari Crossing, Delhi - IITM","03-06-2026 23:00:00",28.7256504,77.2011573,CO,54,104,75
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IITM","03-06-2026 23:00:00",28.5512005,77.2735737,CO,21,71,31
India,Delhi,Delhi,"Cantonment Area, Delhi - DPCC ","03-06-2026 23:00:00","28.594169 ","77.125100 ",NO2,8,45,24
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM","03-06-2026 23:00:00",28.656756,77.227234,PM2.5,73,108,92
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM","03-06-2026 23:00:00",28.656756,77.227234,SO2,10,100,37
India,Delhi,Delhi,"Commonwealth Sports Complex, Delhi - DPCC","03-06-2026 23:00:00","28.615828 ","77.271992 ",PM2.5,74,175,108
India,Delhi,Delhi,"Commonwealth Sports Complex, Delhi - DPCC","03-06-2026 23:00:00","28.615828 ","77.271992 ",PM10,91,171,119
India,Delhi,Delhi,"Commonwealth Sports Complex, Delhi - DPCC","03-06-2026 23:00:00","28.615828 ","77.271992 ",NH3,2,12,5
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB","03-06-2026 23:00:00",26.1209,85.3647,CO,18,60,30
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","03-06-2026 23:00:00",25.586562,85.043586,NO2,29,36,32
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","03-06-2026 23:00:00",25.592539,85.227158,SO2,8,10,9
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB","03-06-2026 23:00:00",25.610369,85.132568,SO2,16,28,22
India,Bihar,Patna,"Muradpur, Patna - BSPCB","03-06-2026 23:00:00",25.619651,85.147382,NO2,3,4,3
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","03-06-2026 23:00:00",25.599486,85.113666,PM2.5,43,62,53
India,Bihar,Patna,"Samanpura, Patna - BSPCB","03-06-2026 23:00:00",25.596727,85.085624,CO,22,34,26
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB","03-06-2026 23:00:00",25.366336,87.117468,PM2.5,62,82,68
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB","03-06-2026 23:00:00",25.366336,87.117468,NH3,2,2,2
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB","03-06-2026 23:00:00",25.366336,87.117468,OZONE,17,80,47
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB","03-06-2026 23:00:00",25.859655,85.77944,NH3,1,2,1
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","03-06-2026 23:00:00",25.5626095,84.663264,CO,46,61,54
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB","03-06-2026 23:00:00",25.42742023,86.13886079,NO2,11,17,13
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB","03-06-2026 23:00:00",25.42742023,86.13886079,CO,8,19,15
